motor1_x,motor1_y,motor1_z,sound,time
0.042653,0.000998,-0.424942,-0.008467,2024-04-22T16:44:00.041171Z
-0.264031,0.000998,0.812004,-0.007521,2024-04-22T16:44:00.041371Z
0.115865,0.000367,-0.426204,-0.009414,2024-04-22T16:44:00.041571Z
-0.156757,0.000683,1.250010,-0.007205,2024-04-22T16:44:00.041771Z
0.085886,0.000998,-3.468996,-0.012884,2024-04-22T16:44:00.041971Z
-0.187678,0.000367,1.715155,-0.008152,2024-04-22T16:44:00.042171Z
0.086833,0.000367,1.238019,-0.007205,2024-04-22T16:44:00.042371Z
0.034133,0.000683,0.214637,-0.007836,2024-04-22T16:44:00.042571Z
0.000683,0.000367,-0.996333,-0.007836,2024-04-22T16:44:00.042771Z
0.071054,0.000367,0.572489,-0.015408,2024-04-22T16:44:00.042971Z
-0.140351,0.000998,1.630583,-0.008783,2024-04-22T16:44:00.043171Z
-0.009729,0.000998,0.066636,-0.007205,2024-04-22T16:44:00.043371Z
0.135430,0.000367,-1.196683,-0.005627,2024-04-22T16:44:00.043571Z
-0.139720,0.001314,-0.574810,-0.007205,2024-04-22T16:44:00.043771Z
0.195703,0.000683,-0.062735,-0.014146,2024-04-22T16:44:00.043971Z
-0.075040,0.000367,0.826520,-0.007836,2024-04-22T16:44:00.044171Z
0.034449,0.000998,0.297631,-0.007836,2024-04-22T16:44:00.044371Z
-0.003734,0.000683,1.181848,-0.005943,2024-04-22T16:44:00.044571Z
0.100086,0.000998,-1.247796,-0.008467,2024-04-22T16:44:00.044771Z
-0.132779,0.000367,1.429252,-0.014777,2024-04-22T16:44:00.044971Z
0.084939,0.000683,0.442791,-0.006889,2024-04-22T16:44:00.045171Z
-0.063997,0.000683,-0.909883,-0.005943,2024-04-22T16:44:00.045371Z
0.139532,0.000052,-0.765063,-0.010045,2024-04-22T16:44:00.045571Z
0.046756,0.000998,0.474979,-0.005943,2024-04-22T16:44:00.045771Z
0.067267,0.001314,0.067583,-0.014462,2024-04-22T16:44:00.045971Z
-0.032130,0.000998,-1.268935,-0.008152,2024-04-22T16:44:00.046171Z
-0.040334,0.000367,1.353831,-0.007205,2024-04-22T16:44:00.046371Z
0.052120,0.000998,-0.264347,-0.009414,2024-04-22T16:44:00.046571Z
0.082099,0.000367,0.793701,-0.007521,2024-04-22T16:44:00.046771Z
-0.016986,0.000998,0.183080,-0.012569,2024-04-22T16:44:00.046971Z
-0.087345,0.000998,-1.059435,-0.005627,2024-04-22T16:44:00.047171Z
0.063481,0.000998,-0.596580,-0.006574,2024-04-22T16:44:00.047371Z
-0.073462,0.000367,0.935075,-0.007521,2024-04-22T16:44:00.047571Z
0.130065,0.000367,-0.928814,-0.007205,2024-04-22T16:44:00.047771Z
-0.152340,0.001314,-0.121420,-0.013515,2024-04-22T16:44:00.047971Z
0.112393,0.000367,0.396719,-0.005943,2024-04-22T16:44:00.048171Z
-0.127099,0.000683,0.394825,-0.006258,2024-04-22T16:44:00.048371Z
0.062218,0.000683,-0.914931,-0.006574,2024-04-22T16:44:00.048571Z
-0.063366,0.000367,1.881143,-0.006574,2024-04-22T16:44:00.048771Z
0.110816,0.000683,1.165123,-0.013515,2024-04-22T16:44:00.048971Z
-0.031184,0.000998,-1.364220,-0.007836,2024-04-22T16:44:00.049171Z
0.080837,0.000998,-0.412006,-0.005627,2024-04-22T16:44:00.049371Z
-0.046013,0.000367,1.742294,-0.006889,2024-04-22T16:44:00.049571Z
0.053698,0.000683,-1.588233,-0.008467,2024-04-22T16:44:00.049771Z
0.006363,0.000367,-0.826588,-0.012884,2024-04-22T16:44:00.049971Z
-0.049168,0.000052,-0.197774,-0.006889,2024-04-22T16:44:00.050171Z
