motor1_x,motor1_y,motor1_z,sound,time
-0.016039,0.000683,-0.131832,-0.016355,2024-04-22T15:48:00.211781Z
0.140163,0.000052,-0.204084,-0.007836,2024-04-22T15:48:00.211981Z
-0.141613,0.000998,0.026559,-0.004996,2024-04-22T15:48:00.212181Z
0.022457,0.000998,-0.107538,-0.007205,2024-04-22T15:48:00.212381Z
-0.099019,0.000683,-0.049168,-0.007836,2024-04-22T15:48:00.212581Z
-0.007836,0.000998,0.410288,-0.009414,2024-04-22T15:48:00.212781Z
0.002261,0.000683,-0.221753,-0.007205,2024-04-22T15:48:00.212981Z
0.039813,0.000683,-0.281700,-0.006258,2024-04-22T15:48:00.213181Z
0.046440,0.000683,0.141110,-0.007521,2024-04-22T15:48:00.213381Z
-0.005627,0.000998,0.228206,-0.007836,2024-04-22T15:48:00.213581Z
0.018355,0.000683,-0.369097,-0.008467,2024-04-22T15:48:00.213781Z
-0.028344,0.000367,0.071054,-0.008783,2024-04-22T15:48:00.213981Z
0.012674,0.001630,-0.041280,-0.008783,2024-04-22T15:48:00.214181Z
-0.010991,0.000052,0.026875,-0.007836,2024-04-22T15:48:00.214381Z
0.021826,0.000683,-0.135934,-0.008783,2024-04-22T15:48:00.214581Z
-0.041911,0.000367,0.232940,-0.010991,2024-04-22T15:48:00.214781Z
0.016146,0.000683,0.563338,-0.007521,2024-04-22T15:48:00.214981Z
-0.007836,0.000998,-0.192410,-0.004996,2024-04-22T15:48:00.215181Z
0.043284,0.001630,-0.901049,-0.007836,2024-04-22T15:48:00.215381Z
0.006994,0.000367,-0.616773,-0.007205,2024-04-22T15:48:00.215581Z
-0.015724,0.000683,0.284377,-0.016986,2024-04-22T15:48:00.215781Z
0.063165,0.000998,-0.098703,-0.007521,2024-04-22T15:48:00.215981Z
-0.001526,0.001314,0.384412,-0.007205,2024-04-22T15:48:00.216181Z
0.032555,0.000367,0.515372,-0.005943,2024-04-22T15:48:00.216381Z
0.075157,0.000683,-0.157388,-0.007205,2024-04-22T15:48:00.216581Z
-0.009729,0.000683,0.538092,-0.015408,2024-04-22T15:48:00.216781Z
0.053698,0.000998,0.269230,-0.008152,2024-04-22T15:48:00.216981Z
-0.109746,0.000683,0.060641,-0.010991,2024-04-22T15:48:00.217181Z
0.094722,0.000683,-0.229956,-0.005627,2024-04-22T15:48:00.217381Z
-0.010676,0.000367,-0.168747,-0.006889,2024-04-22T15:48:00.217581Z
0.109553,0.000683,0.064743,-0.013515,2024-04-22T15:48:00.217781Z
-0.146977,0.000998,0.472139,-0.008152,2024-04-22T15:48:00.217981Z
-0.035286,0.000367,0.602152,-0.007836,2024-04-22T15:48:00.218181Z
-0.034654,0.000998,0.617615,-0.005943,2024-04-22T15:48:00.218381Z
0.044231,0.000052,-0.396546,-0.006574,2024-04-22T15:48:00.218581Z
0.078628,0.000998,0.014883,-0.014146,2024-04-22T15:48:00.218781Z
-0.033077,0.000998,-0.067468,-0.007521,2024-04-22T15:48:00.218981Z
0.126594,0.000367,0.097877,-0.004681,2024-04-22T15:48:00.219181Z
-0.100912,0.000367,0.001630,-0.006258,2024-04-22T15:48:00.219381Z
0.231677,0.000367,-0.677667,-0.006889,2024-04-22T15:48:00.219581Z
-0.269079,0.000998,1.002606,-0.015408,2024-04-22T15:48:00.219781Z
0.214952,0.000367,0.415968,-0.006574,2024-04-22T15:48:00.219981Z
-0.061473,0.000367,-0.389289,-0.000895,2024-04-22T15:48:00.220181Z
0.141110,0.001314,-0.718368,-0.006258,2024-04-22T15:48:00.220381Z
0.074210,0.000367,0.563338,-0.006889,2024-04-22T15:48:00.220581Z
-0.022665,0.001314,-0.288641,-0.010676,2024-04-22T15:48:00.220781Z
0.200121,0.000052,0.420702,-0.008467,2024-04-22T15:48:00.220981Z
-0.026451,0.000998,-0.189255,-0.008783,2024-04-22T15:48:00.221181Z
0.134799,0.000367,0.022457,-0.005627,2024-04-22T15:48:00.221381Z
-0.097757,0.000367,-0.024558,-0.006258,2024-04-22T15:48:00.221581Z
0.046440,0.000998,0.722699,-0.010045,2024-04-22T15:48:00.221781Z
-0.019510,0.000367,0.188760,-0.007521,2024-04-22T15:48:00.221981Z
-0.015093,0.000683,-0.203138,-0.007205,2024-04-22T15:48:00.222181Z
-0.077880,0.000367,0.920559,-0.006258,2024-04-22T15:48:00.222381Z
-0.129623,0.000683,-0.216705,-0.006889,2024-04-22T15:48:00.222581Z
-0.059895,0.000683,1.109583,-0.011307,2024-04-22T15:48:00.222781Z
0.052751,0.000367,-0.806080,-0.007205,2024-04-22T15:48:00.222981Z
0.057169,0.000367,-0.380455,-0.004681,2024-04-22T15:48:00.223181Z
0.087464,0.000052,-0.116056,-0.005312,2024-04-22T15:48:00.223381Z
0.039182,0.000998,-0.333759,-0.008783,2024-04-22T15:48:00.223581Z
-0.012253,0.000998,0.191601,-0.012253,2024-04-22T15:48:00.223781Z
-0.092393,0.000052,-0.210710,-0.005943,2024-04-22T15:48:00.223981Z
0.036026,0.000367,-0.178212,-0.007205,2024-04-22T15:48:00.224181Z
-0.065890,0.000683,0.408395,-0.004996,2024-04-22T15:48:00.224381Z
0.043600,0.000998,-0.526537,-0.007205,2024-04-22T15:48:00.224581Z
-0.101858,0.000998,-1.155666,-0.011622,2024-04-22T15:48:00.224781Z
0.076103,0.000998,-0.789989,-0.007521,2024-04-22T15:48:00.224981Z
0.022457,0.000998,-0.625607,-0.012569,2024-04-22T15:48:00.225181Z
0.061587,0.000683,-0.448290,-0.007836,2024-04-22T15:48:00.225381Z
-0.049484,0.000367,0.358535,-0.006889,2024-04-22T15:48:00.225581Z
-0.084821,0.000998,1.246539,-0.012253,2024-04-22T15:48:00.225781Z
0.107344,0.000367,0.111447,-0.007205,2024-04-22T15:48:00.225981Z
0.068214,0.000998,-0.357423,-0.006574,2024-04-22T15:48:00.226181Z
0.126594,0.000367,-1.269882,-0.005627,2024-04-22T15:48:00.226381Z
0.119651,0.000683,-0.472584,-0.009098,2024-04-22T15:48:00.226581Z
-0.138458,0.000998,0.538408,-0.015093,2024-04-22T15:48:00.226781Z
-0.004050,0.000367,0.274279,-0.006889,2024-04-22T15:48:00.226981Z
0.000683,0.000998,-0.338176,-0.006574,2024-04-22T15:48:00.227181Z
-0.127099,0.000683,1.499623,-0.005312,2024-04-22T15:48:00.227381Z
0.124069,0.000683,0.532728,-0.007836,2024-04-22T15:48:00.227581Z
0.062849,0.000998,-1.178068,-0.015093,2024-04-22T15:48:00.227781Z
-0.099965,0.000683,0.375260,-0.008152,2024-04-22T15:48:00.227981Z
-0.092709,0.001314,1.112423,0.001630,2024-04-22T15:48:00.228181Z
0.144266,0.000367,0.125647,-0.004996,2024-04-22T15:48:00.228381Z
-0.037494,0.000683,0.817053,-0.006258,2024-04-22T15:48:00.228581Z
0.075788,0.000683,-0.171271,-0.009729,2024-04-22T15:48:00.228781Z
0.121545,0.000683,-0.676089,-0.008152,2024-04-22T15:48:00.228981Z
-0.093340,0.000998,0.358851,-0.006258,2024-04-22T15:48:00.229181Z
0.158151,0.000998,-0.488675,-0.005943,2024-04-22T15:48:00.229381Z
0.116180,-0.000264,-0.627185,-0.006258,2024-04-22T15:48:00.229581Z
-0.073147,0.000998,0.155942,-0.011307,2024-04-22T15:48:00.229781Z
-0.082612,0.000998,0.718912,-0.008467,2024-04-22T15:48:00.229981Z
-0.146030,0.000683,0.497700,-0.009098,2024-04-22T15:48:00.230181Z
0.148999,0.000998,-0.736036,-0.007205,2024-04-22T15:48:00.230381Z
