motor1_x,motor1_y,motor1_z,sound,time
-0.006889,0.000683,0.046124,-0.005312,2024-04-22T18:25:00.324914Z
-0.004365,0.000683,0.068530,-0.006889,2024-04-22T18:25:00.325114Z
0.021510,0.000683,0.031608,-0.009098,2024-04-22T18:25:00.325314Z
-0.062735,0.000683,0.415337,-0.006889,2024-04-22T18:25:00.325513Z
0.018039,0.001314,0.060641,-0.004365,2024-04-22T18:25:00.325713Z
0.001945,0.000998,-0.058633,-0.007836,2024-04-22T18:25:00.325913Z
0.040444,0.000367,-0.092393,-0.006574,2024-04-22T18:25:00.326113Z
-0.020141,0.000367,-0.249518,-0.010991,2024-04-22T18:25:00.326313Z
0.022773,0.001314,-0.143506,-0.008783,2024-04-22T18:25:00.326514Z
-0.003419,0.000367,0.016461,-0.011307,2024-04-22T18:25:00.326714Z
-0.006889,0.000998,-0.062419,-0.008467,2024-04-22T18:25:00.326913Z
-0.000895,0.000367,0.113025,-0.006574,2024-04-22T18:25:00.327113Z
0.002576,0.000998,-0.074724,-0.006574,2024-04-22T18:25:00.327313Z
0.004785,0.000683,0.062218,-0.007205,2024-04-22T18:25:00.327513Z
0.017723,0.000367,-0.089869,-0.003419,2024-04-22T18:25:00.327713Z
-0.003419,0.000998,0.175822,-0.005943,2024-04-22T18:25:00.327914Z
0.000683,0.000998,0.125647,-0.006574,2024-04-22T18:25:00.328114Z
-0.003103,0.000683,0.153101,-0.000264,2024-04-22T18:25:00.328313Z
0.005101,0.000998,-0.120789,-0.008467,2024-04-22T18:25:00.328513Z
0.019932,0.000367,-0.178528,-0.008152,2024-04-22T18:25:00.328713Z
-0.017617,0.000998,-0.097441,-0.005943,2024-04-22T18:25:00.328913Z
-0.007205,0.000998,0.152470,-0.007521,2024-04-22T18:25:00.329113Z
-0.013831,0.000052,0.188445,-0.005312,2024-04-22T18:25:00.329314Z
0.018986,0.000683,-0.165592,-0.007836,2024-04-22T18:25:00.329514Z
0.004154,0.000998,0.000683,-0.004996,2024-04-22T18:25:00.329714Z
0.008572,0.000683,-0.111008,-0.007836,2024-04-22T18:25:00.329913Z
-0.002788,0.000683,0.165724,-0.008152,2024-04-22T18:25:00.330113Z
0.002892,0.000683,-0.173795,-0.018563,2024-04-22T18:25:00.330313Z
0.005101,0.000998,-0.064944,-0.005312,2024-04-22T18:25:00.330513Z
-0.000579,0.000367,0.060325,-0.002788,2024-04-22T18:25:00.330714Z
0.001630,0.000367,0.048333,-0.005627,2024-04-22T18:25:00.330914Z
-0.003103,0.000367,0.096300,-0.007521,2024-04-22T18:25:00.331114Z
-0.005627,0.000052,0.001630,-0.002157,2024-04-22T18:25:00.331313Z
0.006048,0.000998,-0.087660,-0.005312,2024-04-22T18:25:00.331513Z
0.007941,0.000052,-0.274759,0.006048,2024-04-22T18:25:00.331713Z
-0.003734,0.000998,-0.156126,-0.005312,2024-04-22T18:25:00.331913Z
0.005416,0.000367,0.054960,-0.006889,2024-04-22T18:25:00.332114Z
0.017723,0.000367,0.034449,0.004154,2024-04-22T18:25:00.332314Z
0.014252,0.000367,0.100086,-0.009098,2024-04-22T18:25:00.332514Z
0.008572,0.000052,-0.064628,-0.003103,2024-04-22T18:25:00.332713Z
-0.000895,0.000367,-0.034970,-0.005627,2024-04-22T18:25:00.332913Z
-0.019825,0.000683,0.136376,-0.008152,2024-04-22T18:25:00.333113Z
0.017408,0.000367,-0.199667,-0.008467,2024-04-22T18:25:00.333313Z
0.008888,0.000998,-0.083874,-0.007836,2024-04-22T18:25:00.333513Z
-0.001841,0.000367,-0.095548,-0.004050,2024-04-22T18:25:00.333714Z
0.009834,0.000052,0.193178,-0.007205,2024-04-22T18:25:00.333914Z
0.000367,0.000998,0.112709,-0.007521,2024-04-22T18:25:00.334113Z
-0.010676,0.000367,-0.062104,-0.012253,2024-04-22T18:25:00.334313Z
0.030662,0.000998,-0.117318,-0.006574,2024-04-22T18:25:00.334513Z
0.011412,0.000367,-0.124891,-0.010360,2024-04-22T18:25:00.334713Z
-0.010360,0.000683,-0.005943,-0.006574,2024-04-22T18:25:00.334913Z
0.006048,0.000683,0.171404,-0.007205,2024-04-22T18:25:00.335114Z
-0.010045,0.000998,0.054645,-0.007836,2024-04-22T18:25:00.335314Z
0.002892,0.000998,0.074210,-0.006889,2024-04-22T18:25:00.335513Z
0.012359,0.000052,-0.286748,-0.004996,2024-04-22T18:25:00.335713Z
-0.005943,0.000367,-0.021719,-0.006574,2024-04-22T18:25:00.335913Z
-0.002788,0.001314,0.059694,-0.007205,2024-04-22T18:25:00.336113Z
-0.015408,0.000367,0.353171,-0.005312,2024-04-22T18:25:00.336313Z
0.024666,0.000998,-0.071569,-0.007521,2024-04-22T18:25:00.336514Z
0.007941,0.000998,-0.124891,-0.010360,2024-04-22T18:25:00.336714Z
-0.032130,0.000683,0.138901,-0.005627,2024-04-22T18:25:00.336914Z
0.016777,0.000998,0.084308,-0.006258,2024-04-22T18:25:00.337113Z
-0.007836,0.000683,0.232624,-0.008467,2024-04-22T18:25:00.337313Z
0.021826,0.000367,-0.099334,-0.007205,2024-04-22T18:25:00.337513Z
0.014252,0.000367,-0.176950,-0.003734,2024-04-22T18:25:00.337713Z
-0.011307,0.000367,-0.012884,-0.006258,2024-04-22T18:25:00.337914Z
-0.000264,0.000683,0.166986,-0.008467,2024-04-22T18:25:00.338114Z
0.016146,0.000998,-0.194303,-0.014146,2024-04-22T18:25:00.338314Z
0.005732,0.000998,-0.025505,-0.006889,2024-04-22T18:25:00.338513Z
0.009519,0.000683,0.002576,-0.004681,2024-04-22T18:25:00.338713Z
0.011097,0.000998,0.072316,-0.006258,2024-04-22T18:25:00.338913Z
-0.011622,0.000998,0.178978,-0.008467,2024-04-22T18:25:00.339113Z
-0.013515,0.000998,0.089673,-0.003419,2024-04-22T18:25:00.339314Z
0.027822,0.000998,-0.076302,-0.007521,2024-04-22T18:25:00.339514Z
0.000367,0.000683,-0.192726,0.006679,2024-04-22T18:25:00.339714Z
0.001630,0.000998,-0.113532,-0.005312,2024-04-22T18:25:00.339913Z
-0.004365,0.000998,0.081468,-0.006889,2024-04-22T18:25:00.340113Z
0.005101,0.000683,0.116496,-0.000895,2024-04-22T18:25:00.340313Z
0.023719,0.000998,0.039813,-0.007521,2024-04-22T18:25:00.340513Z
0.020879,0.000367,-0.130254,-0.004365,2024-04-22T18:25:00.340714Z
0.000998,0.000367,-0.058633,-0.005627,2024-04-22T18:25:00.340914Z
-0.018879,0.000998,0.081783,-0.007836,2024-04-22T18:25:00.341114Z
-0.008152,-0.000264,-0.179159,-0.009098,2024-04-22T18:25:00.341313Z
0.002892,0.000683,-0.178212,-0.007205,2024-04-22T18:25:00.341513Z
0.014568,0.000998,-0.157704,-0.004996,2024-04-22T18:25:00.341713Z
-0.007521,0.000367,0.213059,-0.008783,2024-04-22T18:25:00.341913Z
-0.003734,0.000367,0.243669,-0.007836,2024-04-22T18:25:00.342113Z
0.005101,0.000367,-0.111639,-0.011622,2024-04-22T18:25:00.342314Z
0.023088,0.000998,-0.134356,-0.007521,2024-04-22T18:25:00.342514Z
0.006679,0.000367,-0.022350,-0.009729,2024-04-22T18:25:00.342713Z
0.004785,0.000998,0.022141,-0.007205,2024-04-22T18:25:00.342913Z
-0.003419,0.000367,0.192863,-0.008467,2024-04-22T18:25:00.343113Z
-0.009098,0.000367,-0.011938,-0.007836,2024-04-22T18:25:00.343313Z
0.018986,0.000998,0.002261,-0.007836,2024-04-22T18:25:00.343513Z
0.008888,0.000683,-0.162437,-0.004996,2024-04-22T18:25:00.343714Z
-0.009414,0.000998,0.058747,-0.007205,2024-04-22T18:25:00.343914Z
-0.007521,0.000998,0.174244,-0.007205,2024-04-22T18:25:00.344113Z
0.000367,0.000367,0.165724,-0.006258,2024-04-22T18:25:00.344313Z
0.029399,0.000998,-0.041280,-0.007521,2024-04-22T18:25:00.344513Z
0.016146,0.000367,-0.187362,-0.007836,2024-04-22T18:25:00.344713Z
-0.025189,0.000683,-0.111955,-0.007521,2024-04-22T18:25:00.344913Z
-0.003419,0.000998,0.228837,-0.007836,2024-04-22T18:25:00.345114Z
-0.003734,0.000367,0.155310,-0.004365,2024-04-22T18:25:00.345314Z
0.026875,0.000683,-0.222699,-0.007205,2024-04-22T18:25:00.345514Z
-0.000895,0.000683,0.036026,-0.003419,2024-04-22T18:25:00.345713Z
0.003523,0.000683,-0.029291,-0.006574,2024-04-22T18:25:00.345913Z
0.006994,0.000367,0.338970,-0.007521,2024-04-22T18:25:00.346113Z
-0.002472,0.000052,-0.031499,-0.012569,2024-04-22T18:25:00.346313Z
0.021826,0.000998,-0.150447,-0.007521,2024-04-22T18:25:00.346514Z
0.003839,-0.000264,0.052120,-0.004996,2024-04-22T18:25:00.346714Z
-0.028660,0.000998,0.142372,-0.007205,2024-04-22T18:25:00.346914Z
0.002576,0.001314,0.084624,-0.006574,2024-04-22T18:25:00.347113Z
-0.007836,0.000367,0.062849,-0.004050,2024-04-22T18:25:00.347313Z
0.018039,0.000683,-0.057371,-0.007205,2024-04-22T18:25:00.347513Z
0.018355,0.000683,-0.272866,0.006363,2024-04-22T18:25:00.347713Z
-0.004050,0.000683,-0.097126,-0.005943,2024-04-22T18:25:00.347914Z
-0.008783,0.000998,-0.113532,-0.005943,2024-04-22T18:25:00.348114Z
0.020248,0.000367,0.004470,-0.001526,2024-04-22T18:25:00.348314Z
0.018986,0.000683,0.099455,-0.007205,2024-04-22T18:25:00.348513Z
0.024035,0.000998,-0.253304,-0.001526,2024-04-22T18:25:00.348713Z
-0.014777,0.000998,0.024350,-0.003419,2024-04-22T18:25:00.348913Z
-0.012253,0.000683,0.196965,-0.007205,2024-04-22T18:25:00.349113Z
-0.002157,0.000683,0.231046,-0.008467,2024-04-22T18:25:00.349313Z
0.027190,0.000367,-0.082297,-0.007205,2024-04-22T18:25:00.349514Z
0.007941,0.001314,-0.265293,-0.005312,2024-04-22T18:25:00.349714Z
-0.031499,0.000683,0.327610,-0.007836,2024-04-22T18:25:00.349913Z
0.022773,0.001314,0.308676,-0.007521,2024-04-22T18:25:00.350113Z
-0.010045,0.000683,0.001314,-0.013831,2024-04-22T18:25:00.350313Z
0.024350,0.000052,-0.047590,-0.006258,2024-04-22T18:25:00.350513Z
0.004154,0.000683,0.016146,-0.010360,2024-04-22T18:25:00.350713Z
-0.010676,0.000367,0.026244,-0.005627,2024-04-22T18:25:00.350914Z
0.003523,0.000683,0.098193,-0.006889,2024-04-22T18:25:00.351114Z
