motor1_x,motor1_y,motor1_z,sound,time
-0.017932,0.000367,0.322876,-0.007205,2024-04-22T17:45:00.272753Z
-0.019194,0.000998,0.077366,-0.017932,2024-04-22T17:45:00.272953Z
0.013621,0.000367,0.027822,-0.007205,2024-04-22T17:45:00.273153Z
-0.013831,0.000683,-0.089238,-0.011307,2024-04-22T17:45:00.273353Z
-0.013831,0.000052,0.056223,-0.007521,2024-04-22T17:45:00.273553Z
0.002576,0.000683,-0.089869,-0.006258,2024-04-22T17:45:00.273753Z
0.005732,0.000683,-0.059895,-0.004681,2024-04-22T17:45:00.273953Z
0.012359,0.000367,-0.226170,-0.008467,2024-04-22T17:45:00.274153Z
-0.003419,0.000367,-0.086398,-0.010360,2024-04-22T17:45:00.274353Z
-0.008152,0.000367,-0.290219,-0.000264,2024-04-22T17:45:00.274553Z
0.016777,0.000367,0.131012,-0.007521,2024-04-22T17:45:00.274753Z
-0.002472,0.000367,0.157835,-0.005312,2024-04-22T17:45:00.274953Z
0.016461,0.000998,0.153101,-0.007836,2024-04-22T17:45:00.275153Z
-0.013200,0.000367,0.040129,-0.008783,2024-04-22T17:45:00.275353Z
-0.008467,0.000683,0.194441,-0.004996,2024-04-22T17:45:00.275553Z
-0.004050,0.000052,0.170142,-0.006889,2024-04-22T17:45:00.275753Z
-0.008467,0.000998,0.083361,-0.007836,2024-04-22T17:45:00.275953Z
0.003207,0.000998,0.037604,-0.007836,2024-04-22T17:45:00.276153Z
0.022141,0.000367,0.107029,-0.009414,2024-04-22T17:45:00.276353Z
-0.000579,0.000683,-0.017617,-0.006258,2024-04-22T17:45:00.276553Z
0.011097,0.000367,0.308676,-0.007205,2024-04-22T17:45:00.276753Z
0.009834,0.000683,-0.006889,-0.011622,2024-04-22T17:45:00.276953Z
0.006363,0.000052,-0.129623,-0.006574,2024-04-22T17:45:00.277153Z
-0.011938,0.000683,-0.044435,-0.008783,2024-04-22T17:45:00.277353Z
0.004470,0.000998,0.063165,-0.004050,2024-04-22T17:45:00.277553Z
0.001630,0.000998,-0.111955,-0.008152,2024-04-22T17:45:00.277753Z
-0.021403,0.000998,0.171089,-0.006258,2024-04-22T17:45:00.277953Z
0.001630,0.000998,-0.079457,-0.007205,2024-04-22T17:45:00.278153Z
0.024350,0.000367,0.137954,-0.009414,2024-04-22T17:45:00.278353Z
