motor1_x,motor1_y,motor1_z,sound,time
0.020564,0.000683,1.104218,-0.001526,2024-04-22T16:02:00.228329Z
0.058747,0.000998,0.291320,-0.008467,2024-04-22T16:02:00.228529Z
-0.177266,0.000998,-0.338807,-0.008783,2024-04-22T16:02:00.228729Z
0.066321,0.000683,-1.652281,-0.006574,2024-04-22T16:02:00.228929Z
-0.377615,0.000683,1.723675,-0.007205,2024-04-22T16:02:00.229129Z
0.769087,0.000683,-0.757491,-0.009098,2024-04-22T16:02:00.229329Z
-0.533162,0.000998,0.511585,-0.008152,2024-04-22T16:02:00.229529Z
-0.200929,0.000683,4.170261,-0.009729,2024-04-22T16:02:00.229729Z
0.173929,0.000998,-2.044462,-0.007836,2024-04-22T16:02:00.229929Z
0.150577,0.000998,-3.275272,-0.006574,2024-04-22T16:02:00.230129Z
-0.298422,0.000052,2.901684,-0.006574,2024-04-22T16:02:00.230329Z
0.112393,0.000998,-0.180421,-0.009098,2024-04-22T16:02:00.230529Z
-0.194303,0.000367,1.134513,-0.005312,2024-04-22T16:02:00.230729Z
0.287533,0.000998,1.736298,-0.005312,2024-04-22T16:02:00.230929Z
-0.034970,0.000683,-2.424338,-0.007205,2024-04-22T16:02:00.231129Z
-0.094602,0.000367,1.328902,-0.006258,2024-04-22T16:02:00.231329Z
-0.036863,0.000998,-1.282818,-0.008467,2024-04-22T16:02:00.231529Z
0.230415,0.000998,-4.029344,-0.006258,2024-04-22T16:02:00.231729Z
0.094406,0.000367,-2.064970,-0.006889,2024-04-22T16:02:00.231929Z
0.166671,0.000683,-0.724047,-0.007205,2024-04-22T16:02:00.232129Z
0.236411,0.000367,-1.662378,-0.003419,2024-04-22T16:02:00.232329Z
-0.167485,0.000998,1.053412,-0.007205,2024-04-22T16:02:00.232529Z
0.409972,0.001314,-1.084676,-0.007836,2024-04-22T16:02:00.232729Z
-0.430937,0.000998,1.257584,-0.007205,2024-04-22T16:02:00.232929Z
0.396403,0.000998,-1.035141,-0.007205,2024-04-22T16:02:00.233129Z
-0.289903,0.000683,0.982410,-0.010045,2024-04-22T16:02:00.233329Z
-0.073147,0.000683,0.109553,-0.008783,2024-04-22T16:02:00.233529Z
-0.115110,0.000998,0.609726,-0.012253,2024-04-22T16:02:00.233729Z
0.250927,0.000998,2.438433,-0.005312,2024-04-22T16:02:00.233929Z
-0.262769,0.000367,2.701300,-0.008467,2024-04-22T16:02:00.234129Z
0.023719,0.000998,0.239882,-0.008152,2024-04-22T16:02:00.234329Z
-0.006258,0.000998,-2.194330,-0.007205,2024-04-22T16:02:00.234529Z
0.112709,0.000683,-2.903284,-0.005312,2024-04-22T16:02:00.234729Z
0.284693,0.000367,-0.237528,-0.006889,2024-04-22T16:02:00.234929Z
-0.404118,0.000683,1.270837,-0.009098,2024-04-22T16:02:00.235129Z
-0.033708,0.000998,2.407507,-0.008467,2024-04-22T16:02:00.235329Z
-0.190202,0.000998,0.695560,-0.007836,2024-04-22T16:02:00.235529Z
0.133536,0.000683,0.786759,-0.006574,2024-04-22T16:02:00.235729Z
-0.060842,0.000683,1.717048,-0.008783,2024-04-22T16:02:00.235929Z
-0.059895,0.000998,0.235464,-0.008467,2024-04-22T16:02:00.236129Z
-0.139404,0.001314,-0.838262,-0.002157,2024-04-22T16:02:00.236329Z
0.244616,0.000683,-1.906899,-0.007205,2024-04-22T16:02:00.236529Z
0.232624,0.000367,-1.997451,-0.007205,2024-04-22T16:02:00.236729Z
0.066321,0.000998,1.897868,-0.005943,2024-04-22T16:02:00.236929Z
-0.064628,0.001314,1.007971,-0.007205,2024-04-22T16:02:00.237129Z
0.156573,0.000998,0.424173,-0.010991,2024-04-22T16:02:00.237329Z
-0.201876,0.000683,-0.388658,-0.007521,2024-04-22T16:02:00.237529Z
0.076734,0.000367,0.053067,-0.010360,2024-04-22T16:02:00.237729Z
-0.120158,0.000998,-2.296871,-0.005943,2024-04-22T16:02:00.237929Z
0.047387,0.000998,1.966346,-0.006889,2024-04-22T16:02:00.238129Z
-0.049168,0.000367,-1.193212,-0.007836,2024-04-22T16:02:00.238329Z
0.048965,0.000683,0.096931,-0.008152,2024-04-22T16:02:00.238529Z
